Gross,Net,Conventional Accounting,Economic Sector,Sector,Category,Sub-Category 1,Sub-Category 2,Sub-Category 3,Year,Gas,MT CO2e AR5 20 yr,MT CO2e AR4 100 yr
Yes,Yes,Yes,Electricity,Energy,Fuel Combustion,Electricity,Not Applicable,Coal,1990,CO2,24766371,24766371
Yes,Yes,Yes,Electricity,Energy,Fuel Combustion,Electricity,Not Applicable,Coal,1990,CH4,16154,5385
Yes,Yes,Yes,Electricity,Energy,Fuel Combustion,Electricity,Not Applicable,Coal,1990,N2O,261098,262087
Yes,Yes,Yes,Electricity,Energy,Fuel Combustion,Electricity,Not Applicable,Distillate Fuel,1990,CO2,471548,471548
Yes,Yes,Yes,Electricity,Energy,Fuel Combustion,Electricity,Not Applicable,Distillate Fuel,1990,CH4,509,170
Yes,Yes,Yes,Electricity,Energy,Fuel Combustion,Electricity,Not Applicable,Distillate Fuel,1990,N2O,710,713
Yes,Yes,Yes,Electricity,Energy,Fuel Combustion,Electricity,Not Applicable,Natural Gas,1990,CO2,12553864,12553864
Yes,Yes,Yes,Electricity,Energy,Fuel Combustion,Electricity,Not Applicable,Natural Gas,1990,CH4,20984,6995
Yes,Yes,Yes,Electricity,Energy,Fuel Combustion,Electricity,Not Applicable,Natural Gas,1990,N2O,19785,19860
Yes,Yes,Yes,Electricity,Energy,Fuel Combustion,Electricity,Not Applicable,Petroleum Coke,1990,CO2,0,0
Yes,Yes,Yes,Electricity,Energy,Fuel Combustion,Electricity,Not Applicable,Petroleum Coke,1990,CH4,0,0
Yes,Yes,Yes,Electricity,Energy,Fuel Combustion,Electricity,Not Applicable,Petroleum Coke,1990,N2O,0,0
Yes,Yes,Yes,Electricity,Energy,Fuel Combustion,Electricity,Not Applicable,Residual Fuel,1990,CO2,25399719,25399719
Yes,Yes,Yes,Electricity,Energy,Fuel Combustion,Electricity,Not Applicable,Residual Fuel,1990,CH4,23981,7994
Yes,Yes,Yes,Electricity,Energy,Fuel Combustion,Electricity,Not Applicable,Residual Fuel,1990,N2O,28264,28371
Yes,Yes,Yes,Electricity,Energy,Fuel Combustion,Electricity,Not Applicable,Wood,1990,CH4,627,209
Yes,Yes,Yes,Electricity,Energy,Fuel Combustion,Electricity,Not Applicable,Wood,1990,N2O,1254,1258
Yes,No,No,Electricity,Energy,Fuel Combustion,Electricity,Not Applicable,Wood,1990,Biogenic CO2,66321,66321
Yes,Yes,Yes,Buildings,Energy,Fuel Combustion,Residential,Not Applicable,Coal,1990,CO2,130313,130313
Yes,Yes,Yes,Buildings,Energy,Fuel Combustion,Residential,Not Applicable,Coal,1990,CH4,36079,12026
Yes,Yes,Yes,Buildings,Energy,Fuel Combustion,Residential,Not Applicable,Coal,1990,N2O,567,569
Yes,Yes,Yes,Buildings,Energy,Fuel Combustion,Residential,Not Applicable,Distillate Fuel,1990,CO2,13578592,13578592
Yes,Yes,Yes,Buildings,Energy,Fuel Combustion,Residential,Not Applicable,Distillate Fuel,1990,CH4,162717,54239
Yes,Yes,Yes,Buildings,Energy,Fuel Combustion,Residential,Not Applicable,Distillate Fuel,1990,N2O,30684,30800
Yes,Yes,Yes,Buildings,Energy,Fuel Combustion,Residential,Not Applicable,Kerosene,1990,CO2,732452,732452
Yes,Yes,Yes,Buildings,Energy,Fuel Combustion,Residential,Not Applicable,Kerosene,1990,CH4,8870,2957
Yes,Yes,Yes,Buildings,Energy,Fuel Combustion,Residential,Not Applicable,Kerosene,1990,N2O,1673,1679
Yes,Yes,Yes,Buildings,Energy,Fuel Combustion,Residential,Not Applicable,LPG,1990,CO2,903005,903005
Yes,Yes,Yes,Buildings,Energy,Fuel Combustion,Residential,Not Applicable,LPG,1990,CH4,6363,2121
Yes,Yes,Yes,Buildings,Energy,Fuel Combustion,Residential,Not Applicable,LPG,1990,N2O,400,401
Yes,Yes,Yes,Buildings,Energy,Fuel Combustion,Residential,Not Applicable,Natural Gas,1990,CO2,18445181,18445181
Yes,Yes,Yes,Buildings,Energy,Fuel Combustion,Residential,Not Applicable,Natural Gas,1990,CH4,154159,51386
Yes,Yes,Yes,Buildings,Energy,Fuel Combustion,Residential,Not Applicable,Natural Gas,1990,N2O,9690,9727
Yes,Yes,Yes,Buildings,Energy,Fuel Combustion,Residential,Not Applicable,Wood,1990,CH4,1011358,337119
Yes,Yes,Yes,Buildings,Energy,Fuel Combustion,Residential,Not Applicable,Wood,1990,N2O,42381,42541
Yes,No,No,Buildings,Energy,Fuel Combustion,Residential,Not Applicable,Wood,1990,Biogenic CO2,3923469,3923469
Yes,Yes,Yes,Buildings,Energy,Fuel Combustion,Commercial,Not Applicable,Coal,1990,CO2,521347,521347
Yes,Yes,Yes,Buildings,Energy,Fuel Combustion,Commercial,Not Applicable,Coal,1990,CH4,4811,1604
Yes,Yes,Yes,Buildings,Energy,Fuel Combustion,Commercial,Not Applicable,Coal,1990,N2O,2268,2277
Yes,Yes,Yes,Buildings,Energy,Fuel Combustion,Commercial,Not Applicable,Distillate Fuel,1990,CO2,6640643,6640643
Yes,Yes,Yes,Buildings,Energy,Fuel Combustion,Commercial,Not Applicable,Distillate Fuel,1990,CH4,79577,26526
Yes,Yes,Yes,Buildings,Energy,Fuel Combustion,Commercial,Not Applicable,Distillate Fuel,1990,N2O,15006,15063
Yes,Yes,Yes,Buildings,Energy,Fuel Combustion,Commercial,Not Applicable,Kerosene,1990,CO2,111610,111610
Yes,Yes,Yes,Buildings,Energy,Fuel Combustion,Commercial,Not Applicable,Kerosene,1990,CH4,1352,451
Yes,Yes,Yes,Buildings,Energy,Fuel Combustion,Commercial,Not Applicable,Kerosene,1990,N2O,255,256
Yes,Yes,Yes,Buildings,Energy,Fuel Combustion,Commercial,Not Applicable,LPG,1990,CO2,256187,256187
Yes,Yes,Yes,Buildings,Energy,Fuel Combustion,Commercial,Not Applicable,LPG,1990,CH4,1805,602
Yes,Yes,Yes,Buildings,Energy,Fuel Combustion,Commercial,Not Applicable,LPG,1990,N2O,113,114
Yes,Yes,Yes,Buildings,Energy,Fuel Combustion,Commercial,Not Applicable,Natural Gas,1990,CO2,10641273,10641273
Yes,Yes,Yes,Buildings,Energy,Fuel Combustion,Commercial,Not Applicable,Natural Gas,1990,CH4,88936,29645
Yes,Yes,Yes,Buildings,Energy,Fuel Combustion,Commercial,Not Applicable,Natural Gas,1990,N2O,5590,5611
Yes,Yes,Yes,Buildings,Energy,Fuel Combustion,Commercial,Not Applicable,Residual Fuel,1990,CO2,8214685,8214685
Yes,Yes,Yes,Buildings,Energy,Fuel Combustion,Commercial,Not Applicable,Residual Fuel,1990,CH4,96949,32316
Yes,Yes,Yes,Buildings,Energy,Fuel Combustion,Commercial,Not Applicable,Residual Fuel,1990,N2O,18282,18351
Yes,Yes,Yes,Buildings,Energy,Fuel Combustion,Commercial,Not Applicable,Wood,1990,CH4,110524,36841
Yes,Yes,Yes,Buildings,Energy,Fuel Combustion,Commercial,Not Applicable,Wood,1990,N2O,4631,4649
Yes,No,No,Buildings,Energy,Fuel Combustion,Commercial,Not Applicable,Wood,1990,Biogenic CO2,428767,428767
Yes,Yes,Yes,Industry,Energy,Fuel Combustion,Industrial,Not Applicable,Asphalt and Road Oil,1990,CO2,0,0
Yes,Yes,Yes,Industry,Energy,Fuel Combustion,Industrial,Not Applicable,Asphalt and Road Oil,1990,CH4,0,0
Yes,Yes,Yes,Industry,Energy,Fuel Combustion,Industrial,Not Applicable,Asphalt and Road Oil,1990,N2O,0,0
Yes,Yes,Yes,Industry,Energy,Fuel Combustion,Industrial,Not Applicable,Coal - Coking,1990,CO2,3398324,3398324
Yes,Yes,Yes,Industry,Energy,Fuel Combustion,Industrial,Not Applicable,Coal - Coking,1990,CH4,32173,10724
Yes,Yes,Yes,Industry,Energy,Fuel Combustion,Industrial,Not Applicable,Coal - Coking,1990,N2O,15167,15225
Yes,Yes,Yes,Industry,Energy,Fuel Combustion,Industrial,Not Applicable,Coal - Other,1990,CO2,4361966,4361966
Yes,Yes,Yes,Industry,Energy,Fuel Combustion,Industrial,Not Applicable,Coal - Other,1990,CH4,40849,13616
Yes,Yes,Yes,Industry,Energy,Fuel Combustion,Industrial,Not Applicable,Coal - Other,1990,N2O,19257,19330
Yes,Yes,Yes,Industry,Energy,Fuel Combustion,Industrial,Not Applicable,Distillate Fuel,1990,CO2,1275724,1275724
Yes,Yes,Yes,Industry,Energy,Fuel Combustion,Industrial,Not Applicable,Distillate Fuel,1990,CH4,4586,1529
Yes,Yes,Yes,Industry,Energy,Fuel Combustion,Industrial,Not Applicable,Distillate Fuel,1990,N2O,2883,2894
Yes,Yes,Yes,Industry,Energy,Fuel Combustion,Industrial,Not Applicable,Kerosene,1990,CO2,103266,103266
Yes,Yes,Yes,Industry,Energy,Fuel Combustion,Industrial,Not Applicable,Kerosene,1990,CH4,375,125
Yes,Yes,Yes,Industry,Energy,Fuel Combustion,Industrial,Not Applicable,Kerosene,1990,N2O,236,237
Yes,Yes,Yes,Industry,Energy,Fuel Combustion,Industrial,Not Applicable,LPG,1990,CO2,28984,28984
Yes,Yes,Yes,Industry,Energy,Fuel Combustion,Industrial,Not Applicable,LPG,1990,CH4,41,14
Yes,Yes,Yes,Industry,Energy,Fuel Combustion,Industrial,Not Applicable,LPG,1990,N2O,13,13
Yes,Yes,Yes,Industry,Energy,Fuel Combustion,Industrial,Not Applicable,Lubricants,1990,CO2,0,0
Yes,Yes,Yes,Industry,Energy,Fuel Combustion,Industrial,Not Applicable,Lubricants,1990,CH4,0,0
Yes,Yes,Yes,Industry,Energy,Fuel Combustion,Industrial,Not Applicable,Lubricants,1990,N2O,0,0
Yes,Yes,Yes,Industry,Energy,Fuel Combustion,Industrial,Not Applicable,Lubricants (Transportation),1990,CO2,0,0
Yes,Yes,Yes,Industry,Energy,Fuel Combustion,Industrial,Not Applicable,Lubricants (Transportation),1990,CH4,0,0
Yes,Yes,Yes,Industry,Energy,Fuel Combustion,Industrial,Not Applicable,Lubricants (Transportation),1990,N2O,0,0
Yes,Yes,Yes,Industry,Energy,Fuel Combustion,Industrial,Not Applicable,Miscellaneous Petroleum Products,1990,CO2,0,0
Yes,Yes,Yes,Industry,Energy,Fuel Combustion,Industrial,Not Applicable,Miscellaneous Petroleum Products,1990,CH4,0,0
Yes,Yes,Yes,Industry,Energy,Fuel Combustion,Industrial,Not Applicable,Miscellaneous Petroleum Products,1990,N2O,0,0
Yes,Yes,Yes,Industry,Energy,Fuel Combustion,Industrial,Not Applicable,Natural Gas,1990,CO2,5376377,5376377
Yes,Yes,Yes,Industry,Energy,Fuel Combustion,Industrial,Not Applicable,Natural Gas,1990,CH4,8987,2996
Yes,Yes,Yes,Industry,Energy,Fuel Combustion,Industrial,Not Applicable,Natural Gas,1990,N2O,2824,2835
Yes,Yes,Yes,Industry,Energy,Fuel Combustion,Industrial,Not Applicable,Petroleum Coke,1990,CO2,1329622,1329622
Yes,Yes,Yes,Industry,Energy,Fuel Combustion,Industrial,Not Applicable,Petroleum Coke,1990,CH4,3462,1154
Yes,Yes,Yes,Industry,Energy,Fuel Combustion,Industrial,Not Applicable,Petroleum Coke,1990,N2O,2176,2184
Yes,Yes,Yes,Industry,Energy,Fuel Combustion,Industrial,Not Applicable,Residual Fuel,1990,CO2,2211574,2211574
Yes,Yes,Yes,Industry,Energy,Fuel Combustion,Industrial,Not Applicable,Residual Fuel,1990,CH4,7830,2610
Yes,Yes,Yes,Industry,Energy,Fuel Combustion,Industrial,Not Applicable,Residual Fuel,1990,N2O,4922,4941
Yes,Yes,Yes,Industry,Energy,Fuel Combustion,Industrial,Not Applicable,Special Naphthas,1990,CO2,13208,13208
Yes,Yes,Yes,Industry,Energy,Fuel Combustion,Industrial,Not Applicable,Special Naphthas,1990,CH4,49,16
Yes,Yes,Yes,Industry,Energy,Fuel Combustion,Industrial,Not Applicable,Special Naphthas,1990,N2O,30,31
Yes,Yes,Yes,Industry,Energy,Fuel Combustion,Industrial,Not Applicable,Waxes,1990,CO2,0,0
Yes,Yes,Yes,Industry,Energy,Fuel Combustion,Industrial,Not Applicable,Waxes,1990,CH4,0,0
Yes,Yes,Yes,Industry,Energy,Fuel Combustion,Industrial,Not Applicable,Waxes,1990,N2O,0,0
Yes,Yes,Yes,Industry,Energy,Fuel Combustion,Industrial,Not Applicable,Wood,1990,CH4,67973,22658
